category,checksum,file_name,id,jurisdiction,license,published_at,retrieved_at,role,source_url,title,version
placing_orders,sha256:8eb5f768078ba281bb709181d54180f29a4d308adc04171b39c428fa967e7f68,ubereats-pickup-venues.md,customer-pickup-venues-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T21:20:00Z,customer,https://help.uber.com/en-AU/ubereats/restaurants/article/ordering-pickup-at-venues?nodeId=13e8933a-fe57-444e-8db8-cf937964ce0f,Ordering Pickup at Venues,1.0
order_change_cancel,sha256:55a36e8d8b886bb26799d3ebb2a5f2c6b7b97dbec3a19eef4613beb09c2203fe,ubereats_cancellation_policy.md,customer-order-cancellation-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T14:30:00Z,customer,https://help.uber.com/en-AU/ubereats/restaurants/article/what-is-the-uber-eats-cancellation-policy-?nodeId=78c4c326-15ba-4d6a-9fd2-d8724f525477,Uber Eats Cancellation Policy,1.0
payments_refunds,sha256:15fb8e81f664247f04fd2ed2344cf39793f9c13ae454f2bad36b2aa190a8e8ff,ubereats_duplicate_charges.md,customer-duplicate-charge-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T15:45:00Z,customer,https://help.uber.com/ubereats/restaurants/article/i-think-i-was-charged-more-than-once?nodeId=bfcb83ac-4def-4f64-bf5f-3ed0bd90ee31,Duplicate or Extra Charges,1.0
delivery_issues,sha256:15a929f95ad7f4091c7ef0ee2a462d9a1c3c371a9d7876469d1b4ab242a2ebd8,ubereats-safety-incident.md,customer-safety-incident-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T19:15:00Z,customer,https://help.uber.com/ubereats/restaurants/article/report-a-safety-incident-involving-a-delivery-partner%E3%80%80?nodeId=6586bcec-005f-4b7c-8a75-50fff88536f4,Report a Safety Incident Involving a Delivery Partner,1.0
placing_orders,sha256:19c5fb024caedafa9e425b6a541605cab3f2142b3bd029a497cac1939d1095dc,ubereats-accessibility-feedback.md,customer-accessibility-feedback-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T21:40:00Z,customer,https://help.uber.com/ubereats/restaurants/article/i-have-feedback-about-voiceover-or-talkback-features?nodeId=d5fe67ba-32d0-45c8-ba57-929fd356a290,Feedback About VoiceOver or TalkBack Features,1.0
order_change_cancel,sha256:23ac8c0861abeedb08e1797011850ed363cd35efecb856270c12950384270a48,ubereats_cancellation_charges.md,customer-cancellation-charge-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T16:40:00Z,customer,https://help.uber.com/ubereats/restaurants/article/i-was-charged-for-cancellation?nodeId=6838771b-be6a-452e-a82c-9230679120bd,Charged for a Cancelled Order,1.0
delivery_issues,sha256:4fd531dd206ab092f466c09f6b514c2928272d43f1e00415e1d32af44f7b3d8c,ubereats_wrong_missing_items.md,customer-wrong-missing-items-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T17:20:00Z,customer,https://help.uber.com/ubereats/restaurants/article/wrong-or-missing-items?nodeId=beb06041-6d9c-44de-9ecf-2a9fa80c3bc9,Wrong or Missing Items,1.0
promotions,sha256:16739ab65f4baae26f29ed87891e3a83375e449d0ba12eed412957da17c23e3c,ubereats-brand-partnerships.md,partner-brand-promo-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T22:30:00Z,partner,https://help.uber.com/ubereats/restaurants/article/brand-partnership-special-event-promo-codes?nodeId=69b7a231-34a6-4f6c-b473-b2dc214e1b28,Brand Partnership / Special Event Promo Codes,1.0
payments_refunds,sha256:8b91b0b9f582034d1a22f6d1c2e4df389c4b5d4de0b1c233b14ddc7a8b505a80,ubereats_autorization_holds.md,customer-authorization-hold-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T15:15:00Z,customer,https://help.uber.com/ubereats/restaurants/article/authorization-holds---faq-?nodeId=2abc10e9-7c91-46e5-afb0-39ee3b463ff9,Authorization Holds - FAQ,1.0
placing_orders,sha256:139a01fae2becb12ef54c9041df302bffce548b0b365c13121528fbabf0620ab,ubereats-gift-deliveries.md,customer-gift-deliveries-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T20:40:00Z,customer,https://help.uber.com/en-GB/ubereats/restaurants/article/gift-deliveries---faq?nodeId=99ae52b0-0712-45bd-a78b-0650f3fe4f25,Gift Deliveries – FAQ,1.0
